,AdaptiveMA2008,CryptoBB2008,DividendPaydate2008,DynamicBreakout2008,FOMC2008,HedgeVIX2008,LumberGold2008,MultiVar2008,OptionSkewness2008,OvernightMomentum2008,SectorRotation2008,SimpleEMA2008,SPY2008,TScrossSecMom2008,VolatilityRiskPremium2008
154,107803.85,100000.0,100000.0,99948.17139,100000.0,100000.0,110271.785,102085.750512226,100000.0,83091.82110452332,100000.0,100000.0,90073.382450944,88038.64554760336,105916.055
155,108960.665,100000.0,100000.0,101356.35825,100000.0,100000.0,109478.525,102270.346306951,100000.0,83677.60610624062,100000.0,100000.0,89104.16082736,91137.5239481963,105738.745
156,109297.33,100000.0,100000.0,101612.05257,100000.0,100000.0,109933.915,102258.039920636,100000.0,83442.25829712831,100000.0,100000.0,88815.456513952,96015.31974261612,105763.525
157,108690.76,100000.0,100000.0,101886.68721,100000.0,100000.0,110756.555,102282.652693266,100000.0,83477.86643858768,100000.0,100000.0,89296.630369632,92996.97427804858,105967.225
158,108235.135,100000.0,100000.0,101799.35129,100000.0,100000.0,110669.555,102368.797397471,100000.0,83425.43447854256,100000.0,100000.0,89660.947717504,90902.87789275711,106043.455
159,109726.37,100000.0,100000.0,101709.38477,100000.0,100000.0,110967.395,102454.942101676,100000.0,83760.07727275304,100000.0,100000.0,88416.76960496,93555.59110642114,106077.945
160,110756.815,100000.0,100000.0,101955.60893,100000.0,100000.0,110806.065,102541.086805881,100000.0,83518.43636602128,100000.0,100000.0,87564.404489184,97692.51592078849,105631.72
161,110137.295,100000.0,100000.0,101232.19393,100000.0,100000.0,111128.725,102664.150669031,100000.0,83545.8725373753,100000.0,100000.0,88052.452257088,99109.38677243772,106325.47
162,109905.09,100000.0,100000.0,102459.63189,100000.0,100000.0,110892.935,102578.005964826,100000.0,82543.7110946707,100000.0,100000.0,88238.047887136,101141.45726559708,106360.22
163,108580.69,100000.0,100000.0,102434.11507,100000.0,100000.0,110570.275,102418.022942731,100000.0,82542.66759764876,100000.0,100000.0,89289.756457408,98273.29914294914,108274.47
164,110620.97,100000.0,100000.0,103132.01325,100000.0,100000.0,111302.465,102565.699578511,100000.0,82214.89244477777,100000.0,100000.0,87619.395786976,99983.76082895511,105685.72
