,ActiveCollar2007,AdaptiveMA2007,CryptoBB2007,DividendPaydate2007,DynamicBreakout2007,FOMC2007,HedgeVIX2007,LumberGold2007,MultiVar2007,OptionSkewness2007,OvernightMomentum2007,SectorRotation2007,SimpleEMA2007,SPY2007,TScrossSecMom2007,VolatilityRiskPremium2007
58,100000.0,102521.881710842,100000.0,100000.0,97943.0804,100000.0,100000.0,101796.100072858,101141.214893026,100000.0,93536.87412642293,100000.0,100000.0,101437.26979231,102585.96514632997,104701.325
59,100000.0,102662.42978836,100000.0,100000.0,97943.0804,100000.0,100000.0,101005.908996166,101191.378900114,100000.0,93147.48467134328,100000.0,100000.0,100609.153912576,102182.24954530814,104054.885
60,100000.0,102239.65674856,100000.0,100000.0,97943.0804,100000.0,100000.0,101286.299378218,101128.673891254,100000.0,92693.51399908963,100000.0,100000.0,101019.672895692,102633.39791158726,104374.445
61,100000.0,102358.501760768,100000.0,100000.0,97943.0804,100000.0,100000.0,101388.259517146,101153.755894798,100000.0,92295.91139814517,100000.0,100000.0,100892.270452656,102821.48177330314,104242.685
62,100000.0,102090.393357312,100000.0,100000.0,97943.0804,100000.0,100000.0,101898.060211786,101147.456685466,100000.0,91935.33283129943,100000.0,100000.0,101147.075338728,102886.73363427719,104751.205
63,100000.0,102093.335601738,100000.0,100000.0,97943.0804,100000.0,100000.0,102955.896653164,101131.466685466,100000.0,92251.06969870356,100000.0,100000.0,102109.671575,102841.11512543404,105396.725
64,100000.0,102175.792666784,100000.0,100000.0,97943.0804,100000.0,100000.0,102751.976375308,101144.053824784,100000.0,92170.44490803855,100000.0,100000.0,102201.684450526,102198.52758560574,105491.885
65,100000.0,102513.164685544,100000.0,100000.0,97943.0804,100000.0,100000.0,103070.601809458,101156.640964102,100000.0,91986.7033688091,100000.0,100000.0,102548.502212124,102335.29551611624,105640.565
66,100000.0,102602.556690904,100000.0,100000.0,97943.0804,100000.0,100000.0,102866.681531602,100930.072456378,100000.0,92001.6019459614,100000.0,100000.0,102647.593001152,102889.29967763317,105743.045
67,100000.0,102861.992134024,100000.0,100000.0,97943.0804,100000.0,100000.0,103300.012122046,101055.943849558,100000.0,91791.013906917,100000.0,100000.0,102916.553714228,102716.15320732216,105916.205
